Nivel y Ciclo;Rama de la enseñanza;Tipo de universidad;Tipo de centro;Sexo;Total
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Mujeres;35.817
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros propios;Hombres;25.533
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Ambos Sexos;975
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Mujeres;510
Matrícula de Grado;Ciencias Sociales y Jurídicas;Universidades privadas;Centros adscritos;Hombres;465
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Total Centros;Ambos Sexos;151.139
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Total Centros;Mujeres;36.868
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Total Centros;Hombres;114.271
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros propios;Ambos Sexos;145.206
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros propios;Mujeres;35.578
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros propios;Hombres;109.628
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Ambos Sexos;5.933
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Mujeres;1.290
Matrícula de Grado;Ingeniería y Arquitectura;Total Universidades;Centros adscritos;Hombres;4.643
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Ambos Sexos;135.559
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Mujeres;32.963
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Total Centros;Hombres;102.596
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Ambos Sexos;129.710
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Mujeres;31.691
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros propios;Hombres;98.019
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Ambos Sexos;5.849
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Mujeres;1.272
Matrícula de Grado;Ingeniería y Arquitectura;Universidades públicas;Centros adscritos;Hombres;4.577
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Ambos Sexos;15.580
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Mujeres;3.905
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Total Centros;Hombres;11.675
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Ambos Sexos;15.496
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Mujeres;3.887
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros propios;Hombres;11.609
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Ambos Sexos;..
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Mujeres;..
Matrícula de Grado;Ingeniería y Arquitectura;Universidades privadas;Centros adscritos;Hombres;..
Matrícula de Grado;Artes y Humanidades;Total Universidades;Total Centros;Ambos Sexos;87.145
Matrícula de Grado;Artes y Humanidades;Total Universidades;Total Centros;Mujeres;53.103
Matrícula de Grado;Artes y Humanidades;Total Universidades;Total Centros;Hombres;34.042
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros propios;Ambos Sexos;85.015
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros propios;Mujeres;51.752
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros propios;Hombres;33.263
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros adscritos;Ambos Sexos;2.130
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros adscritos;Mujeres;1.351
Matrícula de Grado;Artes y Humanidades;Total Universidades;Centros adscritos;Hombres;779
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Total Centros;Ambos Sexos;82.416
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Total Centros;Mujeres;50.219
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Total Centros;Hombres;32.197
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros propios;Ambos Sexos;81.103
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros propios;Mujeres;49.377
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros propios;Hombres;31.726
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros adscritos;Ambos Sexos;1.313
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros adscritos;Mujeres;842
Matrícula de Grado;Artes y Humanidades;Universidades públicas;Centros adscritos;Hombres;471
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Total Centros;Ambos Sexos;4.729
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Total Centros;Mujeres;2.884
Matrícula de Grado;Artes y Humanidades;Universidades privadas;Total Centros;Hombres;1.845
